,id,text,userId,createdAt,updatedAt,groupId,label,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19,tfidf_20,tfidf_21,tfidf_22,tfidf_23,tfidf_24,tfidf_25,tfidf_26,tfidf_27,tfidf_28,tfidf_29,tfidf_30,tfidf_31,tfidf_32,tfidf_33,tfidf_34,tfidf_35,tfidf_36,tfidf_37,tfidf_38,tfidf_39,tfidf_40,tfidf_41,tfidf_42,tfidf_43,tfidf_44,tfidf_45,tfidf_46,tfidf_47,tfidf_48,tfidf_49,tfidf_50,tfidf_51,tfidf_52,tfidf_53,tfidf_54,tfidf_55,tfidf_56,tfidf_57,tfidf_58,tfidf_59,tfidf_60,tfidf_61,tfidf_62,tfidf_63,tfidf_64,tfidf_65,tfidf_66,tfidf_67,tfidf_68,tfidf_69,tfidf_70,tfidf_71,tfidf_72,tfidf_73,tfidf_74,tfidf_75,tfidf_76
0,117,I think that just having the presence of a good guy with a gun would prevent any action by a bad guy with a gun.,88270,23/6/2019 14:58,23/6/2019 14:58,20002,0,0.0,0.0,0.0,0.1002769432335474,0.0,0.0,0.2882496584489389,0.0,0.0,0.0,0.0,0.23687842888369573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20413662491700482,0.0,0.360104577147345,0.0,0.5764993168978778,0.0,0.0,0.23687842888369573,0.0,0.2882496584489389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2882496584489389,0.2882496584489389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20413662491700482,0.0,0.0,0.0,0.0,0.0
1,118,Good question! And thats why I think gun control laws do not deter crime; gun ownership deters crime!!,92345,23/6/2019 14:58,23/6/2019 14:58,10001,1,0.6357832900859047,0.0,0.0,0.0,0.21192776336196828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21192776336196828,0.34831691313806995,0.0,0.0,0.0,0.21192776336196828,0.21192776336196828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15008593096593528,0.0,0.26475714844520093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21192776336196828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21192776336196828,0.0,0.0,0.0,0.0,0.0,0.0,0.21192776336196828,0.0,0.21192776336196828,0.0,0.0,0.0,0.0,0.0,0.15008593096593528,0.0,0.0,0.0,0.0,0.0
2,121,The only defense for a nuclear attack is to send up our own nukes to intercept them. Same goes for guns.,12345,23/6/2019 14:59,23/6/2019 14:59,20002,0,0.0,0.0,0.0,0.29983309770553446,0.0,0.0,0.0,0.0,0.35413920100457225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35413920100457225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35413920100457225,0.0,0.0,0.0,0.17943828382818958,0.0,0.0,0.0,0.0,0.35413920100457225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35413920100457225,0.35413920100457225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35413920100457225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,122,"Guns aren't the problem, people are the problem. We need to stop punishing law abiding citizens who own guns because of the actions of a group of deranged people who shouldn't have them.",88270,23/6/2019 15:00,23/6/2019 15:00,20002,1,0.0,0.0,0.1114375740961561,0.15390324906176972,0.0,0.22120019590603018,0.0,0.22120019590603018,0.0,0.0,0.0,0.0,0.0,0.0,0.22120019590603018,0.0,0.0,0.0,0.0,0.0,0.22120019590603018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22120019590603018,0.0,0.18421004951460124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22120019590603018,0.0,0.0,0.0,0.0,0.0,0.44240039181206037,0.22120019590603018,0.0,0.0,0.0,0.0,0.0,0.0,0.3133052206633308,0.0,0.0,0.0,0.44240039181206037,0.22120019590603018,0.0,0.0,0.0,0.0,0.0,0.0,0.22120019590603018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,123,A good gun with a gun would cause most bad guys with a gun not to use their guns.,84456,23/6/2019 15:00,23/6/2019 15:00,20002,0,0.0,0.0,0.0,0.12312706137069401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2908559426530158,0.0,0.3539331399767933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2506532601978401,0.0,0.66324247041052,0.1473733804188869,0.0,0.3539331399767933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3539331399767933,0.0
6,125,The only defense for a nuclear attack is to send up our own nukes to intercept them. Same goes for guns.,12345,23/6/2019 15:01,23/6/2019 15:01,20002,0,0.0,0.0,0.18431438695627167,0.25455133272124014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30065595250955857,0.0,0.0,0.0,0.0,0.0,0.30065595250955857,0.0,0.0,0.0,0.0,0.0,0.0,0.30065595250955857,0.30065595250955857,0.0,0.5181973866995112,0.0,0.0,0.0,0.0,0.0,0.0,0.15233893335730522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30065595250955857,0.0,0.0,0.0,0.0,0.0,0.30065595250955857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2590986933497556
7,126,"All of these dangerous cases exist, only because guns exist in the first place. Remove them all and violence will drop dramatically.",45678,23/6/2019 15:01,23/6/2019 15:01,20002,1,0.0,0.27041108817832954,0.27245867076985997,0.18814244211001216,0.0,0.0,0.0,0.0,0.0,0.0,0.27041108817832954,0.0,0.0,0.0,0.0,0.27041108817832954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27041108817832954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11259583143359535,0.0,0.0,0.0,0.0,0.0,0.0,0.27041108817832954,0.0,0.0,0.0,0.27041108817832954,0.27041108817832954,0.0,0.0,0.0,0.0,0.0,0.0,0.27041108817832954,0.0,0.0,0.19150345980596245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27041108817832954,0.0,0.0,0.19150345980596245,0.27041108817832954,0.0,0.27041108817832954,0.0,0.0
8,127,"Well, that's obviously untrue. Even if you think automatic guns should be legal, they clearly make it easier to kill more people in a shorter amount of time.",53385,23/6/2019 15:01,23/6/2019 15:01,10001,0,0.0,0.0,0.11366857113463634,0.07849220765849774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18541760678178965,0.0,0.0,0.0,0.0,0.0,0.0,0.4512573143712643,0.0,0.0,0.0,0.0,0.22562865718563216,0.4512573143712643,0.0,0.0,0.0,0.14093670158250698,0.0,0.0,0.0,0.0,0.3708352135635793,0.0,0.0,0.0,0.0,0.0,0.4512573143712643,0.0,0.0,0.22562865718563216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22562865718563216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15978881921412527
9,128,"Having a gun does not lead to violence and gang, having a mentality that seeks to force your will on another DOES lead to gang and crime.",12345,23/6/2019 15:02,23/6/2019 15:02,20002,1,0.0,0.0,0.18431438695627167,0.25455133272124014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30065595250955857,0.0,0.0,0.0,0.0,0.0,0.30065595250955857,0.0,0.0,0.0,0.0,0.0,0.0,0.30065595250955857,0.30065595250955857,0.0,0.5181973866995112,0.0,0.0,0.0,0.0,0.0,0.0,0.15233893335730522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30065595250955857,0.0,0.0,0.0,0.0,0.0,0.30065595250955857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2590986933497556
10,129,"All of these dangerous cases exist, only because guns exist in the first place. Remove them all and violence will drop dramatically.",45678,23/6/2019 15:02,23/6/2019 15:02,20002,0,0.0,0.0,0.0,0.1002769432335474,0.0,0.0,0.2882496584489389,0.0,0.0,0.0,0.0,0.23687842888369573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20413662491700482,0.0,0.360104577147345,0.0,0.5764993168978778,0.0,0.0,0.23687842888369573,0.0,0.2882496584489389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2882496584489389,0.2882496584489389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20413662491700482,0.0,0.0,0.0,0.0,0.0
